rama,size,color
agropecuario-agricola-agave,30458,black
agropecuario-agricola-aguacate,49481,black
agropecuario-agricola-cana,45899,black
agropecuario-agricola-chile,25396,black
agropecuario-agricola-fresa,20761,black
agropecuario-agricola-frijol,13040,black
agropecuario-agricola-limon,17256,black
agropecuario-agricola-maiz,106246,black
agropecuario-agricola-otros,270516,black
agropecuario-agricola-papa,13987,black
agropecuario-agricola-pastos,24963,black
agropecuario-agricola-sorgo,14422,black
agropecuario-agricola-tomate,29874,black
agropecuario-agricola-zarzamora,13068,black
agropecuario-pecuario-abeja-miel,2755,blue
agropecuario-pecuario-ave-carne,107162,blue
agropecuario-pecuario-ave-ganado,96155,blue
agropecuario-pecuario-ave-guajolote,999,blue
agropecuario-pecuario-ave-huevo,57152,blue
agropecuario-pecuario-bovino-carne,134453,blue
agropecuario-pecuario-bovino-ganado,126974,blue
agropecuario-pecuario-bovino-leche,73687,blue
agropecuario-pecuario-caprino-carne,2627,blue
agropecuario-pecuario-caprino-ganado,2485,blue
agropecuario-pecuario-ovino-carne,4582,blue
agropecuario-pecuario-ovino-ganado,4411,blue
agropecuario-pecuario-porcino-carne,67100,blue
agropecuario-pecuario-porcino-ganado,52786,blue
agropecuario-pesquero-camaron,16920,red
agropecuario-pesquero-otros,24808,red
